instance_id,category,budget,model_prediction,ground_truth,annotator_a_label,annotator_a_hall,annotator_b_label,annotator_b_hall,resolved_label,resolution_note
66ec3aff821e116aacb1c52e,single-document QA,32768,,D,,,,,,
66f2b5ec821e116aacb2b1ec,structured data understanding,32768,B,C,,,,,,
6718a43fbb02136c067d3ca8,dialogue history understanding,32768,,B,,,,,,
6724cae7bb02136c067d79be,structured data understanding,32768,A,B,,,,,,
670493d4bb02136c067cdcd9,single-document QA,32768,,B,,,,,,
66f3edfb821e116aacb2fc91,long in-context learning,32768,,C,,,,,,
672468b1bb02136c067d74bd,single-document QA,32768,D,B,,,,,,
66f3ad93821e116aacb2e29f,code repository reasoning,32768,,C,,,,,,
66f68b33bb02136c067c2303,long in-context learning,32768,A,D,,,,,,
67192e81bb02136c067d427f,dialogue history understanding,32768,,A,,,,,,
670cb73fbb02136c067d2502,code repository reasoning,32768,,C,,,,,,
6719bce5bb02136c067d4447,dialogue history understanding,32768,,C,,,,,,
66f3fb96821e116aacb3043f,long in-context learning,32768,C,A,,,,,,
671b2e2dbb02136c067d515b,dialogue history understanding,32768,,C,,,,,,
66f3e604821e116aacb2fadf,multi-document QA,32768,A,D,,,,,,
66fb6d71bb02136c067c7c34,multi-document QA,32768,,B,,,,,,
6724c788bb02136c067d792d,structured data understanding,32768,,B,,,,,,
66f8c6b4bb02136c067c4480,multi-document QA,32768,A,C,,,,,,
66fa2734bb02136c067c627a,code repository reasoning,32768,,A,,,,,,
66fa1b54bb02136c067c5df7,code repository reasoning,32768,,B,,,,,,
